Nombre del Barrio o Colonia,Vivendas con 0 NBI,Vivendas con 1 NBI,Vivendas con 2 NBI,Vivendas con 3 NBI,Vivendas con 4+ NBI,total,rank,avrg
ZONA INDUSTRIAL  CAPRISA,0,0,0,0,2,2,8,4
TRAMO RES. EL MOLINONCOL. LOMA,0,0,0,0,1,1,4,4
COL. GENERACION 2000,0,2,2,51,104,159,575,3.616352201
BO. EL MANZANAL,1,0,3,4,26,33,122,3.696969697
BO.ALTOS DEL EDEN,0,0,1,0,3,4,14,3.5
BO. LA ISLA,0,0,2,9,14,25,87,3.48
COL. SANTA CLARA,4,3,2,54,68,127,441,3.472440945
BO.LA PEDRERA NO.2,0,1,1,2,7,11,37,3.363636364
COL. LOMAS DEL MOLINO,4,0,1,6,22,29,108,3.724137931
COL. LA LIBERTAD 2 O CIUDAD PICHETE,0,1,21,73,67,162,530,3.271604938
COL. BERLIN,5,23,6,103,124,256,840,3.28125
COL NUEVA CAPITAL,1,197,111,1214,1015,2537,8121,3.201024832
COL.MARY DE FLORES,0,45,22,251,193,511,1614,3.15851272
ALDEA LA SOLEDAD,2,30,11,81,108,230,727,3.160869565
COL. CIUDAD GUZMAN,14,8,3,63,73,147,495,3.367346939
COL. JOSE TRINIDAD CABAÑAS,1,14,2,52,36,104,318,3.057692308
BRISAS DE ORIENTE,10,15,29,111,75,230,706,3.069565217
COL. ALTOS DE AGAFAM,2,0,25,21,26,72,217,3.013888889
UNION Y FUERZA,12,87,66,247,192,592,1728,2.918918919
COL. ALTOS DE LAS CASCADAS,19,15,6,33,72,126,414,3.285714286
COL. F. CALDERON,2,1,5,10,8,24,73,3.041666667
COL. BUENA VISTA,20,34,7,157,78,276,831,3.010869565
NUEVA JERUSALEN,24,116,32,252,149,549,1532,2.790528233
COL. ALTOS DE LA LAGUNA,49,31,10,127,109,277,868,3.133574007
COL. FLORES DE ORIENTE,26,10,231,175,129,545,1513,2.776146789
COL. MONTE DE LOS OLIVOS,28,74,27,182,83,366,1006,2.74863388
COL. RAMON AMAYA AMADOR NO.1,1,5,4,5,7,21,56,2.666666667
COL. ALTOS DE CENTROAMERICA,13,93,29,162,73,357,929,2.602240896
COL. SAN JUAN DEL NORTE NO. 2,12,7,170,113,36,326,830,2.54601227
COL. FUERZAS UNIDAS,73,42,299,246,154,741,1994,2.690958165
CASERIO EL MOGOTE,4,0,29,10,11,50,132,2.64
COL. MOLOLOA O ALTOS DE LA SOS,36,63,69,99,99,330,894,2.709090909
COL. RES. LOMA ALTA,2,1,0,5,2,8,24,3
COL. FRANCISCO MORAZAN,22,25,81,76,43,225,587,2.608888889
"COL. VILLA CRISTINA ( ETAPA I, II,",187,66,380,327,286,1059,2951,2.786591124
